lat,lon,signal
9.0968767,76.4906881,-85
9.0968763,76.4906893,-94
9.0968781,76.49069,-89
9.0968809,76.490687,-93
9.0968775,76.4906859,-93
9.0968787,76.4906891,-93
9.096879,76.4906876,-93
9.0968793,76.4906867,-94
9.0968779,76.4906846,-94
9.096908,76.4906763,-86
9.0969348,76.4906669,-86
9.0969511,76.4906573,-95
9.0969488,76.4906626,-95
9.0969867,76.4906479,-95
9.0970275,76.4906145,-95
9.0970753,76.4905813,-95
9.0971239,76.4905589,-95
9.0972064,76.4906072,-95
9.0972626,76.4906249,-95
9.0973123,76.490649,-95
9.097364,76.4906839,-89
9.0974085,76.4906972,-89
9.0974641,76.4906953,-89
9.0975221,76.4906826,-83
9.0975755,76.4906704,-98
9.0976224,76.4906446,-86
9.0976916,76.4906211,-96
9.0977403,76.4906072,-96
9.0978145,76.4905518,-101
9.0978597,76.4905341,-100
9.0979112,76.4905228,-100
9.0979657,76.4904872,-100
9.0980155,76.4904764,-100
9.0980653,76.4904665,-94
9.0981229,76.4904951,-99
9.09817,76.490494,-103
9.0982228,76.4904588,-103
9.0982677,76.4904442,-103
9.0983156,76.4903944,-99
9.0983568,76.4903755,-99
9.098409,76.4903596,-99
9.0984476,76.4903812,-99
9.0984845,76.4904068,-99
9.0985204,76.4904144,-99
9.0985653,76.490417,-95
9.098612,76.490409,-95
9.0986665,76.490405,-95
9.0987049,76.4904048,-95
9.0987507,76.490405,-95
9.0987976,76.4904049,-95
9.0988406,76.4903981,-95
9.0989052,76.4903781,-99
9.0989546,76.4903762,-99
9.0990251,76.4903275,-99
9.09907,76.4903153,-99
9.0991284,76.4902824,-99
9.0991708,76.4902732,-99
9.0992518,76.4902674,-99
9.0992971,76.4902571,-99
9.0993586,76.4902457,-99
9.0994154,76.4902698,-103
9.0994648,76.490273,-103
9.0995133,76.490258,-103
9.099541,76.4902569,-103
9.0995977,76.4902514,-103
9.0996384,76.490224,-103
9.0996871,76.4902099,-103
9.0997268,76.4901816,-103
9.0997828,76.4901751,-99
9.0998409,76.4901679,-99
9.0999146,76.4901705,-99
9.0999779,76.4901721,-99
9.1000433,76.4901773,-95
9.1000895,76.490181,-95
9.1001548,76.4901427,-113
9.1002001,76.4901267,-107
9.1002481,76.4900894,-107
9.1002909,76.4900725,-107
9.1002823,76.4900234,-109
9.1002709,76.4900107,-109
9.1002632,76.4899815,-109
9.1002447,76.4899573,-113
9.1002376,76.489909,-113
9.1002292,76.4898927,-113
9.1002149,76.4898526,-113
9.1001764,76.4897938,-113
9.1001673,76.4897414,-113
9.1001617,76.4896799,-108
9.1001557,76.4896286,-104
9.1001452,76.4896055,-110
9.1001179,76.4895802,-105
9.10013,76.4895842,-105
9.100123,76.4895742,-105
9.1000989,76.4895607,-105
9.100073,76.4895595,-110
9.1000409,76.4895483,-110
9.1000094,76.4895584,-114
9.0999792,76.4895852,-118
9.0999369,76.4896217,-118
9.0999009,76.4896603,-114
9.0998841,76.4896756,-114
9.0998816,76.4897194,-114
9.0999034,76.4897265,-111
9.0999134,76.4897321,-111
9.0998233,76.4897617,-107
9.0997734,76.4897475,-107
9.099717,76.4896834,-107
9.0996636,76.489644,-107
9.0996093,76.4896342,-102
9.0995481,76.4896267,-106
9.0994766,76.4896225,-111
9.0994173,76.4896261,-111
9.0993541,76.4896412,-105
9.099302,76.4896476,-105
9.0992449,76.4896586,-96
9.099194,76.4896698,-105
9.0991455,76.4896608,-101
9.099076,76.4896752,-98
9.0990302,76.4896506,-98
9.0990036,76.4896026,-102
9.0989764,76.4895696,-98
9.0989267,76.4895497,-98
9.0988786,76.4895524,-98
9.0988281,76.4895579,-99
9.0987742,76.4895601,-99
9.0987226,76.4895597,-92
9.0986768,76.4895563,-96
9.098608,76.4895787,-96
9.0985635,76.4895826,-104
9.098516,76.4895822,-83
9.0984675,76.4895987,-83
9.0984122,76.4896238,-104
9.0983743,76.4896436,-95
9.0983254,76.4896287,-99
9.0982836,76.4896253,-99
9.0982226,76.4896346,-94
9.09817,76.4896447,-94
9.0981106,76.4896694,-94
9.0980614,76.4897041,-94
9.0980339,76.4897592,-94
9.0980094,76.4898122,-94
9.0979884,76.4898659,-98
9.0979843,76.48992,-98
9.0979822,76.4899696,-91
9.0979539,76.4900127,-91
9.0979189,76.4900611,-87
9.0979809,76.4901379,-86
9.0979566,76.4901689,-86
9.0979771,76.4901774,-86
9.0979919,76.4902009,-90
9.0980251,76.4902365,-94
9.0980172,76.4902781,-96
9.0979798,76.4903137,-96
9.0979463,76.4903406,-96
9.0979386,76.4903327,-96
