lat,lon,signal
9.0968899,76.4906655,-80
9.0968924,76.4906644,-81
9.0968947,76.4906642,-85
9.0969108,76.4906541,-81
9.0969708,76.4906291,-81
9.0970304,76.4906206,-80
9.0970733,76.4906052,-76
9.0971631,76.4905793,-77
9.0972065,76.4905757,-75
9.097258,76.4905773,-76
9.0973104,76.4905742,-74
9.0973679,76.4905593,-71
9.097418,76.4905502,-73
9.0974672,76.4905467,-73
9.0975142,76.4905432,-69
9.0975634,76.4905245,-70
9.0976091,76.4905124,-78
9.0976545,76.4904934,-78
9.0977023,76.4904765,-68
9.0977629,76.4904628,-78
9.097816,76.4904626,-83
9.0978822,76.4904355,-75
9.0979393,76.4904093,-78
9.0979976,76.4903759,-75
9.0980351,76.4903789,-75
9.0980731,76.4903769,-78
9.0981176,76.4904138,-79
9.0981602,76.4904227,-75
9.0981841,76.4904416,-80
9.0982184,76.4904311,-75
9.0982641,76.4904081,-79
9.0983214,76.4904018,-80
9.0983745,76.4904068,-83
9.0984055,76.4903948,-79
9.0984541,76.4903852,-79
9.0985058,76.4903745,-89
9.098557,76.4903608,-88
9.0986054,76.4903523,-86
9.098658,76.4903397,-88
9.0987119,76.4903379,-89
9.0987646,76.490334,-86
9.0988021,76.4903187,-92
9.0988436,76.4903218,-93
9.0988848,76.4903085,-91
9.0989391,76.4902962,-91
9.0989982,76.4903001,-91
9.099042,76.4902999,-88
9.0990959,76.4902907,-88
9.0991507,76.4902644,-88
9.0992071,76.4902482,-88
9.0992811,76.4902447,-88
9.0993331,76.4902396,-88
9.0993855,76.4902424,-90
9.0994333,76.4902449,-91
9.0994835,76.4902623,-93
9.0995336,76.4902464,-91
9.0995799,76.4902409,-91
9.0996211,76.4902206,-93
9.0996775,76.4901924,-93
9.0997275,76.4901806,-92
9.0997749,76.4901516,-92
9.0998398,76.4901635,-94
9.0999044,76.4901712,-92
9.0999694,76.4901636,-92
9.1000259,76.4901234,-96
9.1000851,76.4901094,-93
9.1001333,76.4900829,-93
9.1001821,76.4900704,-93
9.100218,76.4900507,-93
9.1002644,76.4900362,-98
9.1003208,76.4900491,-94
9.1003172,76.4900127,-101
9.1002859,76.489971,-94
9.1002447,76.4899367,-107
9.1002072,76.4899018,-111
9.1001991,76.4898629,-107
9.1002101,76.4898329,-107
9.1002112,76.489801,-107
9.1002427,76.4897602,-106
9.100244,76.489697,-105
9.1002201,76.4896485,-104
9.1002078,76.4896076,-99
9.1001943,76.4895714,-99
9.1001771,76.4895407,-93
9.1001744,76.4895495,-92
9.10018,76.4895408,-92
9.1001534,76.4895005,-94
9.1001164,76.4894988,-92
9.1000671,76.4895073,-92
9.1000204,76.489514,-95
9.0999822,76.4894986,-92
9.0999623,76.4894839,-92
9.0999221,76.4894802,-92
9.0998934,76.4895062,-93
9.0999104,76.4895326,-92
9.0998906,76.4895261,-95
9.099856,76.4895243,-92
9.099787,76.4895419,-88
9.0997344,76.4895552,-86
9.0996876,76.4895651,-87
9.0996372,76.4895763,-87
9.0995827,76.4895833,-83
9.0995304,76.4895851,-83
9.0994875,76.489585,-83
9.0994326,76.4895805,-83
9.0993915,76.4895736,-83
9.099344,76.4895827,-83
9.0992875,76.489581,-83
9.0992362,76.4895843,-83
9.099179,76.4895864,-83
9.0991229,76.4895861,-83
9.0990905,76.4895984,-79
9.0990372,76.4895777,-79
9.0990227,76.4895298,-79
9.0989752,76.4895069,-81
9.0989164,76.4894884,-79
9.098856,76.4894904,-69
9.0987991,76.4895042,-71
9.0987685,76.4895173,-69
9.0987144,76.4895128,-69
9.0986589,76.4895111,-76
9.0985954,76.4895354,-69
9.0985406,76.4895684,-70
9.0984863,76.489602,-74
9.0984438,76.4896114,-78
9.0984031,76.4896278,-73
9.0983497,76.4896465,-70
9.0983096,76.4896664,-70
9.0982579,76.4896408,-70
9.0982055,76.4896695,-69
9.098179,76.4897085,-69
9.0981507,76.4897488,-72
9.098107,76.4897765,-69
9.0980737,76.4898084,-69
9.0980729,76.4898379,-68
9.0980509,76.4899005,-68
9.0980441,76.4899696,-68
9.0980187,76.4900163,-68
9.0979839,76.490053,-69
9.0979536,76.4900981,-69
9.0979665,76.4901518,-68
9.0979547,76.4901747,-60
9.0979463,76.490181,-57
9.0979697,76.4902165,-68
9.0979866,76.4902647,-73
9.0979872,76.490313,-60
9.097981,76.4903481,-60
9.0979632,76.4903789,-73
9.0979762,76.4903452,-68
